"x","y","text","color"
"-0.29643779243227414","3.0400919434196374","x: -0.30<br>y: 3.04<br>z: 22","22.0"
"-0.29643779243227414","3.4726784911292934","x: -0.30<br>y: 3.47<br>z: 9","9.0"
"-0.29643779243227414","3.905265038838951","x: -0.30<br>y: 3.91<br>z: 6","6.0"
"-0.29643779243227414","4.3378515865486085","x: -0.30<br>y: 4.34<br>z: 2","2.0"
"-0.14826068662783043","0.4445726571616937","x: -0.15<br>y: 0.44<br>z: 2","2.0"
"-0.14826068662783043","1.309745752581008","x: -0.15<br>y: 1.31<br>z: 4","4.0"
"-0.14826068662783043","1.7423323002906652","x: -0.15<br>y: 1.74<br>z: 11","11.0"
"-0.14826068662783043","2.1749188480003223","x: -0.15<br>y: 2.17<br>z: 11","11.0"
"-0.14826068662783043","2.607505395709979","x: -0.15<br>y: 2.61<br>z: 31","31.0"
"-0.14826068662783043","3.0400919434196374","x: -0.15<br>y: 3.04<br>z: 24","24.0"
"-0.14826068662783043","3.4726784911292934","x: -0.15<br>y: 3.47<br>z: 8","8.0"
"-0.14826068662783043","3.905265038838951","x: -0.15<br>y: 3.91<br>z: 4","4.0"
"-0.14826068662783043","4.3378515865486085","x: -0.15<br>y: 4.34<br>z: 1","1.0"
"-8.35808233867752e-05","0.01198610945203637","x: -0.00<br>y: 0.01<br>z: 2","2.0"
